Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
5:44:16,30.4,0.079,0.079,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.08,0.084,0.078,0.079,0.08,0.078,0.081,0.081,0.084,0.079,0.08,0.08,0.083,0.081,0.079,0.079,0.078,0.079,0.08,0.079,0.082,0.082,0.08,0.081,0.079,0.08,0.079,0.08,0.08,0.081,0.081,0.078,0.086,0.079,0.078,0.079,0.082,0.083,0.078,0.081,0.083,0.081,0.081,0.079,0.09,0.083,0.077,0.083,0.079,0.082,0.079,0.081,0.082,0.078,0.081,0.079,0.082,0.079,0.08,0.079,0.081,0.079,0.082,0.079,0.08,0.079,0.079,0.081,0.084,0.081,0.077,0.081,0.078,0.078,0.08,0.079,0.082,0.078,0.081,0.08,0.081,0.078,0.08
5:49:16,30.4,0.079,0.079,0.081,0.08,0.079,0.08,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.08,0.084,0.078,0.079,0.08,0.078,0.081,0.08,0.084,0.079,0.08,0.08,0.083,0.081,0.079,0.079,0.078,0.079,0.08,0.079,0.082,0.081,0.08,0.081,0.079,0.08,0.079,0.08,0.08,0.081,0.08,0.078,0.085,0.079,0.078,0.079,0.082,0.083,0.078,0.081,0.083,0.081,0.081,0.079,0.089,0.083,0.077,0.083,0.079,0.082,0.079,0.081,0.082,0.078,0.081,0.079,0.082,0.079,0.08,0.079,0.081,0.08,0.082,0.079,0.08,0.079,0.079,0.081,0.084,0.081,0.077,0.081,0.078,0.078,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
5:54:16,30.3,0.079,0.08,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.08,0.084,0.078,0.079,0.08,0.078,0.081,0.081,0.084,0.079,0.08,0.08,0.083,0.081,0.079,0.079,0.078,0.079,0.08,0.079,0.082,0.082,0.08,0.081,0.079,0.08,0.079,0.08,0.081,0.081,0.08,0.078,0.086,0.079,0.078,0.079,0.082,0.083,0.078,0.082,0.083,0.081,0.081,0.079,0.09,0.083,0.077,0.083,0.079,0.082,0.079,0.081,0.082,0.078,0.081,0.079,0.082,0.079,0.08,0.079,0.081,0.08,0.083,0.08,0.08,0.079,0.08,0.081,0.084,0.081,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
5:59:16,30.3,0.079,0.079,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.08,0.084,0.078,0.079,0.08,0.078,0.081,0.081,0.084,0.079,0.08,0.08,0.083,0.081,0.079,0.079,0.078,0.079,0.08,0.079,0.082,0.082,0.08,0.081,0.079,0.081,0.079,0.081,0.081,0.081,0.081,0.078,0.086,0.079,0.078,0.079,0.082,0.083,0.078,0.082,0.083,0.081,0.081,0.079,0.09,0.083,0.077,0.083,0.079,0.082,0.079,0.081,0.082,0.079,0.081,0.079,0.083,0.08,0.08,0.079,0.082,0.08,0.083,0.079,0.08,0.079,0.08,0.081,0.084,0.082,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
6:04:16,30.3,0.079,0.08,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.08,0.085,0.078,0.079,0.08,0.078,0.082,0.081,0.085,0.079,0.08,0.08,0.084,0.081,0.079,0.079,0.078,0.079,0.08,0.079,0.083,0.082,0.08,0.081,0.079,0.081,0.079,0.08,0.08,0.081,0.081,0.078,0.086,0.079,0.078,0.079,0.083,0.083,0.079,0.082,0.083,0.081,0.081,0.079,0.09,0.084,0.077,0.083,0.079,0.082,0.079,0.081,0.082,0.078,0.081,0.079,0.083,0.08,0.08,0.079,0.081,0.08,0.083,0.08,0.08,0.079,0.08,0.081,0.084,0.082,0.077,0.081,0.078,0.078,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
6:09:16,30.3,0.079,0.08,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.08,0.085,0.078,0.079,0.08,0.078,0.081,0.081,0.085,0.079,0.08,0.08,0.084,0.081,0.079,0.079,0.078,0.079,0.08,0.079,0.082,0.082,0.08,0.081,0.079,0.081,0.079,0.081,0.081,0.081,0.081,0.078,0.087,0.079,0.078,0.079,0.083,0.084,0.078,0.082,0.083,0.081,0.081,0.079,0.09,0.084,0.077,0.083,0.079,0.082,0.079,0.081,0.082,0.079,0.081,0.079,0.083,0.08,0.08,0.079,0.082,0.08,0.083,0.08,0.08,0.079,0.08,0.081,0.085,0.082,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
6:14:16,30.3,0.079,0.08,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.08,0.085,0.078,0.079,0.08,0.078,0.081,0.081,0.085,0.079,0.079,0.08,0.084,0.081,0.079,0.079,0.078,0.08,0.08,0.079,0.083,0.082,0.08,0.081,0.079,0.081,0.079,0.081,0.081,0.081,0.081,0.078,0.087,0.079,0.078,0.079,0.083,0.084,0.079,0.082,0.083,0.081,0.081,0.079,0.091,0.084,0.077,0.083,0.079,0.082,0.08,0.081,0.083,0.079,0.081,0.079,0.083,0.08,0.08,0.079,0.082,0.08,0.083,0.08,0.08,0.08,0.08,0.081,0.085,0.082,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
6:19:16,30.4,0.079,0.08,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.08,0.086,0.078,0.079,0.08,0.078,0.082,0.081,0.085,0.079,0.08,0.08,0.084,0.081,0.079,0.079,0.078,0.08,0.08,0.079,0.083,0.082,0.08,0.081,0.079,0.081,0.079,0.081,0.082,0.081,0.081,0.079,0.087,0.079,0.078,0.079,0.083,0.084,0.079,0.083,0.083,0.081,0.081,0.08,0.09,0.084,0.077,0.083,0.079,0.083,0.079,0.081,0.083,0.079,0.081,0.079,0.083,0.08,0.079,0.079,0.082,0.081,0.083,0.08,0.08,0.08,0.08,0.082,0.085,0.082,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
6:24:16,30.4,0.079,0.079,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.08,0.086,0.078,0.079,0.08,0.078,0.082,0.081,0.086,0.079,0.079,0.08,0.084,0.081,0.079,0.079,0.078,0.08,0.08,0.079,0.083,0.082,0.08,0.081,0.079,0.081,0.079,0.081,0.082,0.081,0.081,0.079,0.087,0.08,0.078,0.079,0.083,0.084,0.079,0.082,0.083,0.082,0.081,0.08,0.091,0.085,0.077,0.083,0.079,0.083,0.079,0.081,0.083,0.079,0.081,0.079,0.083,0.08,0.08,0.079,0.082,0.08,0.083,0.08,0.081,0.08,0.08,0.082,0.085,0.082,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
6:29:16,30.4,0.079,0.08,0.08,0.079,0.079,0.08,0.077,0.08,0.08,0.079,0.078,0.08,0.08,0.08,0.086,0.078,0.079,0.08,0.078,0.082,0.081,0.086,0.079,0.079,0.08,0.084,0.081,0.079,0.079,0.078,0.08,0.08,0.079,0.083,0.082,0.08,0.081,0.079,0.081,0.079,0.081,0.081,0.081,0.081,0.079,0.088,0.079,0.078,0.079,0.083,0.084,0.079,0.083,0.083,0.082,0.081,0.08,0.091,0.085,0.077,0.083,0.079,0.083,0.08,0.081,0.083,0.079,0.081,0.079,0.083,0.08,0.079,0.079,0.082,0.08,0.083,0.08,0.081,0.08,0.08,0.082,0.085,0.082,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.08,0.08,0.08,0.078,0.08
6:34:16,30.4,0.079,0.08,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.08,0.086,0.078,0.079,0.081,0.078,0.082,0.081,0.086,0.079,0.079,0.08,0.085,0.081,0.079,0.079,0.078,0.08,0.08,0.08,0.083,0.082,0.08,0.081,0.079,0.081,0.079,0.081,0.082,0.081,0.081,0.079,0.088,0.08,0.078,0.079,0.083,0.085,0.079,0.083,0.084,0.082,0.081,0.08,0.092,0.085,0.077,0.083,0.079,0.083,0.079,0.081,0.083,0.079,0.081,0.079,0.083,0.08,0.079,0.079,0.082,0.081,0.084,0.08,0.081,0.08,0.08,0.082,0.085,0.082,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.08,0.08,0.08,0.078,0.08
6:39:16,30.3,0.079,0.079,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.08,0.087,0.078,0.079,0.08,0.078,0.082,0.081,0.086,0.079,0.08,0.08,0.085,0.081,0.079,0.079,0.079,0.08,0.08,0.08,0.084,0.082,0.08,0.081,0.079,0.081,0.079,0.081,0.082,0.082,0.082,0.079,0.088,0.08,0.078,0.079,0.083,0.085,0.079,0.083,0.084,0.082,0.081,0.08,0.092,0.085,0.077,0.083,0.079,0.083,0.08,0.082,0.083,0.079,0.081,0.079,0.084,0.08,0.079,0.079,0.082,0.08,0.084,0.08,0.081,0.08,0.08,0.083,0.086,0.083,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
6:44:16,30.3,0.079,0.079,0.081,0.079,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.08,0.087,0.078,0.079,0.081,0.079,0.082,0.081,0.086,0.079,0.079,0.08,0.085,0.081,0.079,0.079,0.079,0.08,0.081,0.08,0.084,0.083,0.08,0.081,0.079,0.081,0.079,0.081,0.083,0.082,0.082,0.079,0.088,0.08,0.078,0.079,0.083,0.085,0.079,0.083,0.084,0.082,0.082,0.08,0.092,0.086,0.077,0.083,0.08,0.083,0.08,0.082,0.083,0.079,0.082,0.079,0.084,0.08,0.079,0.079,0.082,0.081,0.084,0.08,0.081,0.08,0.08,0.083,0.086,0.083,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
6:49:16,30.3,0.079,0.079,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.08,0.088,0.078,0.079,0.081,0.079,0.082,0.082,0.086,0.079,0.08,0.08,0.086,0.082,0.079,0.079,0.079,0.08,0.08,0.08,0.084,0.083,0.08,0.081,0.079,0.081,0.079,0.082,0.082,0.082,0.082,0.079,0.088,0.08,0.078,0.079,0.083,0.086,0.079,0.084,0.083,0.083,0.081,0.08,0.092,0.086,0.077,0.083,0.08,0.083,0.08,0.082,0.084,0.079,0.082,0.079,0.084,0.08,0.079,0.079,0.082,0.081,0.084,0.08,0.081,0.08,0.081,0.083,0.086,0.083,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.077,0.08
6:54:16,30.3,0.079,0.08,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.081,0.088,0.078,0.079,0.08,0.079,0.082,0.082,0.086,0.079,0.079,0.08,0.086,0.082,0.079,0.079,0.079,0.08,0.08,0.08,0.084,0.083,0.08,0.081,0.079,0.082,0.079,0.082,0.083,0.082,0.082,0.079,0.088,0.08,0.078,0.079,0.084,0.087,0.079,0.084,0.084,0.083,0.082,0.08,0.092,0.086,0.077,0.083,0.08,0.084,0.08,0.082,0.084,0.079,0.082,0.079,0.084,0.08,0.079,0.079,0.082,0.081,0.084,0.08,0.081,0.08,0.081,0.083,0.086,0.083,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
6:59:16,30.3,0.079,0.079,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.081,0.089,0.078,0.079,0.081,0.079,0.083,0.082,0.087,0.079,0.08,0.08,0.086,0.082,0.079,0.08,0.079,0.08,0.081,0.08,0.085,0.083,0.08,0.081,0.079,0.082,0.079,0.082,0.083,0.082,0.082,0.079,0.088,0.08,0.078,0.079,0.084,0.086,0.079,0.084,0.084,0.083,0.082,0.08,0.092,0.086,0.077,0.083,0.08,0.084,0.08,0.082,0.084,0.079,0.082,0.079,0.084,0.081,0.079,0.079,0.082,0.081,0.085,0.08,0.081,0.08,0.081,0.083,0.086,0.083,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
7:04:16,30.3,0.079,0.079,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.081,0.089,0.078,0.079,0.08,0.079,0.083,0.082,0.087,0.079,0.08,0.08,0.087,0.082,0.079,0.08,0.079,0.081,0.081,0.08,0.085,0.083,0.08,0.081,0.079,0.082,0.08,0.083,0.083,0.082,0.082,0.079,0.088,0.08,0.078,0.079,0.084,0.086,0.079,0.085,0.083,0.083,0.082,0.081,0.092,0.086,0.077,0.083,0.08,0.084,0.08,0.082,0.085,0.079,0.082,0.079,0.084,0.081,0.079,0.079,0.082,0.081,0.085,0.08,0.081,0.08,0.081,0.084,0.086,0.083,0.077,0.081,0.078,0.078,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
7:09:16,30.3,0.079,0.08,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.081,0.089,0.078,0.079,0.081,0.079,0.083,0.082,0.087,0.079,0.08,0.08,0.086,0.082,0.079,0.08,0.079,0.081,0.081,0.08,0.085,0.083,0.08,0.081,0.079,0.082,0.08,0.083,0.083,0.083,0.083,0.079,0.088,0.081,0.078,0.079,0.084,0.087,0.079,0.085,0.084,0.084,0.082,0.081,0.093,0.086,0.077,0.083,0.08,0.084,0.081,0.082,0.084,0.079,0.082,0.08,0.085,0.081,0.08,0.079,0.082,0.081,0.085,0.08,0.082,0.08,0.081,0.084,0.086,0.084,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
7:14:16,30.2,0.079,0.08,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.081,0.09,0.078,0.079,0.081,0.079,0.083,0.083,0.087,0.079,0.08,0.08,0.086,0.082,0.079,0.08,0.079,0.081,0.081,0.081,0.085,0.084,0.08,0.081,0.079,0.082,0.08,0.083,0.083,0.083,0.083,0.079,0.089,0.081,0.078,0.079,0.084,0.087,0.079,0.085,0.084,0.084,0.082,0.081,0.093,0.086,0.077,0.083,0.08,0.084,0.081,0.082,0.085,0.079,0.082,0.08,0.085,0.081,0.079,0.079,0.083,0.082,0.085,0.081,0.082,0.081,0.081,0.084,0.087,0.084,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
7:19:16,30.3,0.079,0.079,0.08,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.081,0.09,0.078,0.08,0.081,0.079,0.083,0.083,0.087,0.079,0.079,0.08,0.087,0.082,0.079,0.08,0.079,0.081,0.081,0.08,0.086,0.084,0.08,0.081,0.079,0.083,0.08,0.083,0.083,0.083,0.083,0.079,0.088,0.081,0.078,0.079,0.084,0.088,0.079,0.085,0.085,0.084,0.082,0.081,0.093,0.087,0.077,0.083,0.08,0.084,0.08,0.082,0.085,0.079,0.082,0.079,0.085,0.081,0.079,0.079,0.083,0.082,0.085,0.081,0.082,0.081,0.081,0.084,0.087,0.084,0.077,0.081,0.078,0.078,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
7:24:16,30.3,0.079,0.079,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.081,0.09,0.079,0.079,0.081,0.079,0.084,0.083,0.087,0.08,0.08,0.08,0.086,0.082,0.079,0.08,0.08,0.082,0.081,0.081,0.086,0.084,0.08,0.081,0.079,0.083,0.08,0.084,0.082,0.083,0.083,0.079,0.088,0.081,0.078,0.079,0.085,0.087,0.08,0.085,0.084,0.084,0.083,0.081,0.093,0.087,0.077,0.083,0.08,0.084,0.081,0.083,0.085,0.08,0.082,0.08,0.085,0.081,0.08,0.079,0.083,0.082,0.086,0.081,0.082,0.081,0.082,0.084,0.087,0.084,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
7:29:16,30.3,0.079,0.08,0.081,0.079,0.079,0.08,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.081,0.09,0.078,0.08,0.082,0.079,0.084,0.083,0.088,0.08,0.08,0.08,0.087,0.082,0.08,0.08,0.08,0.082,0.081,0.081,0.086,0.084,0.08,0.081,0.08,0.083,0.08,0.084,0.084,0.083,0.083,0.079,0.089,0.081,0.078,0.079,0.085,0.088,0.08,0.086,0.084,0.085,0.083,0.082,0.094,0.087,0.077,0.083,0.08,0.085,0.081,0.083,0.085,0.08,0.083,0.08,0.085,0.081,0.08,0.079,0.083,0.082,0.086,0.081,0.082,0.081,0.082,0.085,0.087,0.085,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
7:34:16,30.2,0.079,0.08,0.081,0.08,0.079,0.08,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.081,0.091,0.079,0.08,0.082,0.079,0.084,0.083,0.088,0.08,0.08,0.08,0.087,0.082,0.08,0.08,0.08,0.082,0.081,0.081,0.087,0.084,0.08,0.081,0.08,0.084,0.08,0.085,0.084,0.084,0.083,0.08,0.089,0.081,0.078,0.079,0.085,0.087,0.08,0.086,0.085,0.085,0.083,0.082,0.094,0.087,0.077,0.083,0.081,0.085,0.082,0.083,0.086,0.08,0.083,0.08,0.085,0.081,0.08,0.079,0.083,0.082,0.086,0.081,0.083,0.081,0.082,0.085,0.088,0.085,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
7:39:16,30.3,0.079,0.079,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.081,0.092,0.079,0.08,0.082,0.079,0.085,0.083,0.088,0.08,0.08,0.08,0.087,0.082,0.08,0.081,0.08,0.082,0.082,0.081,0.087,0.084,0.08,0.081,0.08,0.084,0.08,0.085,0.083,0.084,0.084,0.08,0.089,0.082,0.078,0.079,0.086,0.088,0.08,0.086,0.084,0.085,0.083,0.082,0.094,0.087,0.077,0.083,0.081,0.085,0.082,0.083,0.086,0.08,0.083,0.08,0.085,0.082,0.079,0.079,0.083,0.083,0.086,0.081,0.083,0.081,0.082,0.085,0.088,0.085,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.079,0.081,0.08,0.08,0.078,0.08
7:44:16,30.3,0.079,0.079,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.081,0.09,0.079,0.08,0.082,0.079,0.085,0.083,0.088,0.08,0.079,0.08,0.087,0.083,0.08,0.081,0.08,0.082,0.082,0.081,0.087,0.085,0.08,0.081,0.08,0.084,0.08,0.085,0.084,0.084,0.084,0.08,0.09,0.082,0.078,0.079,0.086,0.087,0.08,0.086,0.085,0.085,0.083,0.082,0.094,0.087,0.077,0.083,0.081,0.085,0.082,0.083,0.086,0.08,0.083,0.08,0.086,0.082,0.08,0.079,0.083,0.083,0.086,0.081,0.083,0.081,0.082,0.085,0.088,0.085,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
7:49:16,30.3,0.079,0.08,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.082,0.091,0.079,0.08,0.083,0.079,0.085,0.084,0.088,0.08,0.079,0.08,0.087,0.083,0.08,0.081,0.08,0.083,0.082,0.082,0.087,0.085,0.08,0.081,0.08,0.084,0.081,0.085,0.085,0.084,0.085,0.08,0.09,0.082,0.078,0.079,0.086,0.089,0.081,0.086,0.084,0.086,0.083,0.083,0.095,0.088,0.077,0.083,0.081,0.086,0.082,0.084,0.086,0.081,0.083,0.08,0.086,0.082,0.08,0.079,0.084,0.083,0.087,0.082,0.083,0.082,0.083,0.085,0.088,0.086,0.078,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
7:54:16,30.2,0.079,0.08,0.081,0.079,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.082,0.089,0.079,0.08,0.083,0.079,0.086,0.084,0.088,0.08,0.08,0.08,0.088,0.083,0.08,0.081,0.081,0.083,0.082,0.082,0.088,0.085,0.08,0.081,0.08,0.085,0.081,0.086,0.085,0.084,0.084,0.08,0.09,0.082,0.078,0.079,0.086,0.089,0.081,0.087,0.085,0.086,0.083,0.083,0.095,0.088,0.077,0.083,0.081,0.086,0.083,0.084,0.086,0.081,0.084,0.081,0.085,0.082,0.08,0.079,0.084,0.083,0.087,0.082,0.083,0.082,0.083,0.085,0.088,0.086,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.08,0.08,0.08,0.078,0.08
7:59:16,30.3,0.079,0.08,0.081,0.079,0.079,0.08,0.077,0.08,0.08,0.079,0.078,0.08,0.08,0.082,0.091,0.079,0.08,0.083,0.079,0.086,0.084,0.088,0.08,0.08,0.08,0.087,0.083,0.08,0.081,0.081,0.083,0.082,0.082,0.088,0.085,0.08,0.081,0.08,0.085,0.081,0.086,0.084,0.084,0.085,0.08,0.09,0.083,0.078,0.079,0.086,0.088,0.081,0.087,0.085,0.086,0.084,0.083,0.096,0.088,0.077,0.083,0.081,0.086,0.083,0.084,0.086,0.081,0.084,0.081,0.086,0.082,0.08,0.079,0.084,0.083,0.087,0.082,0.084,0.082,0.083,0.085,0.089,0.086,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
8:04:16,30.2,0.079,0.08,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.081,0.082,0.091,0.079,0.08,0.083,0.08,0.086,0.085,0.089,0.08,0.08,0.08,0.086,0.084,0.08,0.081,0.081,0.083,0.083,0.083,0.088,0.086,0.08,0.081,0.08,0.085,0.081,0.086,0.084,0.084,0.085,0.08,0.09,0.083,0.078,0.079,0.087,0.088,0.081,0.088,0.086,0.086,0.084,0.083,0.096,0.088,0.077,0.083,0.081,0.086,0.083,0.084,0.086,0.081,0.084,0.081,0.086,0.082,0.079,0.079,0.084,0.084,0.087,0.082,0.084,0.082,0.083,0.086,0.089,0.086,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.08,0.08,0.08,0.078,0.08
8:09:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.082,0.091,0.079,0.08,0.083,0.08,0.086,0.085,0.088,0.08,0.08,0.08,0.087,0.084,0.08,0.082,0.081,0.084,0.083,0.083,0.088,0.086,0.08,0.081,0.08,0.085,0.082,0.086,0.085,0.085,0.086,0.081,0.09,0.083,0.078,0.079,0.086,0.088,0.082,0.087,0.086,0.086,0.084,0.084,0.097,0.088,0.078,0.084,0.082,0.086,0.084,0.084,0.087,0.081,0.085,0.081,0.086,0.083,0.08,0.079,0.084,0.084,0.086,0.082,0.084,0.083,0.083,0.086,0.089,0.086,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
8:14:16,30.2,0.079,0.08,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.082,0.092,0.079,0.081,0.083,0.08,0.086,0.085,0.088,0.08,0.079,0.08,0.087,0.084,0.081,0.082,0.081,0.084,0.083,0.083,0.088,0.086,0.08,0.081,0.081,0.086,0.082,0.087,0.086,0.084,0.085,0.081,0.091,0.083,0.078,0.079,0.087,0.088,0.082,0.088,0.087,0.086,0.084,0.084,0.097,0.088,0.077,0.083,0.082,0.086,0.084,0.085,0.087,0.081,0.085,0.081,0.086,0.083,0.079,0.079,0.084,0.084,0.087,0.082,0.084,0.083,0.083,0.086,0.089,0.087,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.08,0.08,0.081,0.078,0.08
8:19:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.083,0.092,0.08,0.081,0.084,0.08,0.087,0.086,0.088,0.081,0.08,0.08,0.088,0.084,0.081,0.082,0.081,0.084,0.083,0.084,0.088,0.086,0.08,0.081,0.081,0.086,0.082,0.086,0.087,0.085,0.086,0.081,0.092,0.084,0.078,0.079,0.087,0.089,0.082,0.088,0.087,0.086,0.085,0.084,0.098,0.089,0.077,0.083,0.082,0.087,0.084,0.085,0.087,0.082,0.085,0.081,0.086,0.083,0.079,0.079,0.085,0.084,0.087,0.083,0.084,0.083,0.084,0.086,0.089,0.087,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
8:24:16,30.2,0.079,0.08,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.083,0.09,0.079,0.081,0.084,0.08,0.087,0.086,0.088,0.081,0.08,0.08,0.088,0.085,0.081,0.082,0.081,0.085,0.083,0.084,0.089,0.086,0.08,0.081,0.081,0.086,0.082,0.086,0.086,0.086,0.086,0.081,0.091,0.084,0.078,0.079,0.087,0.089,0.082,0.089,0.087,0.086,0.085,0.084,0.099,0.089,0.077,0.083,0.082,0.087,0.084,0.085,0.087,0.082,0.085,0.082,0.086,0.084,0.079,0.079,0.085,0.084,0.087,0.083,0.084,0.083,0.084,0.086,0.09,0.087,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.08,0.08,0.08,0.078,0.08
8:29:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.083,0.091,0.08,0.081,0.083,0.08,0.087,0.086,0.088,0.081,0.079,0.08,0.087,0.085,0.081,0.083,0.082,0.085,0.084,0.084,0.089,0.087,0.08,0.081,0.081,0.086,0.083,0.087,0.087,0.086,0.086,0.082,0.091,0.084,0.078,0.079,0.088,0.089,0.083,0.087,0.086,0.086,0.085,0.084,0.099,0.089,0.077,0.083,0.082,0.087,0.085,0.086,0.087,0.082,0.086,0.082,0.086,0.084,0.079,0.079,0.085,0.085,0.087,0.083,0.084,0.083,0.084,0.087,0.09,0.087,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
